,area,city,country,latitude,longitude,hotel_star_rating,mmt_location_rating,mmt_review_count,mmt_review_rating,mmt_review_score,mmt_traveller_type_review_count,Couple,Solo,Friends,Business,pageurl,property_address,property_name,property_type,room_types,state,traveller_rating
1,Jammu-Pathankot Highway NH-1A,Jammu,India,32.596574,74.959716,4,Location:4.2,18,Excellent:14|Very Good:0|Average:1|Poor:2|Terrible:1,4.3,Family:6,5,5,0,0,https://hotelz.makemytrip.com/makemytrip/site/hotels/detail?&city=IXJ&country=IN&checkin=10042016&checkout=10052016&area=&roomStayQualifier=1e0e&hotelId=201305251707236820&i=|2,"NH A1, Vijaypur",Hotel 17 Miles,Hotel,Deluxe Room,Jammu and Kashmir,Location:4.2/5 | Hospitality:4.3/5 | Facilities:4.2/5 | Cleanliness:4.4/5 | Value for Money:4.3/5 | Food:2.9/5
2,Robinson,Palakkad,India,10.769421,76.656247,3,Location:4.6,36,Excellent:22|Very Good:6|Average:6|Poor:2|Terrible:0,4.4,Family:11,4,16,0,1,https://hotelz.makemytrip.com/makemytrip/site/hotels/detail?&city=XPK&country=IN&checkin=10042016&checkout=10052016&area=&roomStayQualifier=1e0e&hotelId=201409290936463700&i=|2,"Robinson Road, Palakkad Palakkad",Sayoojyam Residency,Hotel,Premium Room.|Executive Deluxe|Suite,Kerala,Location:4.6/5 | Hospitality:4.3/5 | Facilities:4.2/5 | Cleanliness:4.3/5 | Value for Money:4.3/5 | Food:1.9/5
3,Central avenue,Nagpur,India,21.151397,79.098131,1,Location:3.8,32,Excellent:3|Very Good:4|Average:6|Poor:18|Terrible:1,3.1,Family:4,1,17,0,2,https://hotelz.makemytrip.com/makemytrip/site/hotels/detail?&city=NAG&country=IN&checkin=10042016&checkout=10052016&area=&roomStayQualifier=1e0e&hotelId=201107170934056681&i=|2,"51, Central Avenue Opp. Gitanjali Cinema",Hotel Woodlands,Hotel,Woods Deluxe|Woods Royal Deluxe|Woods Executive Suite,Maharashtra,Location:3.8/5 | Hospitality:2.7/5 | Facilities:2.9/5 | Cleanliness:3.0/5 | Value for Money:2.8/5 | Food:2.0/5
4,Loghut Road,Manali,India,32.248894,77.185981,2,Location:4.6,33,Excellent:23|Very Good:3|Average:4|Poor:3|Terrible:0,4.5,Family:15,12,1,0,0,https://hotelz.makemytrip.com/makemytrip/site/hotels/detail?&city=KUU&country=IN&checkin=10042016&checkout=10052016&area=&roomStayQualifier=1e0e&hotelId=200707121231385584&i=|2,"CIRCUIT HOUSE, NEAR MALL ROAD Hadimba Road",Snow Line,Hotel,Deluxe|Luxury|Suite,Himachal Pradesh,Location:4.6/5 | Hospitality:4.6/5 | Facilities:4.4/5 | Cleanliness:4.2/5 | Value for Money:4.5/5 | Food:1.4/5
5,Suryanelli,Munnar,India,10.042304,77.178551,3,Location:4.2,61,Excellent:26|Very Good:9|Average:15|Poor:8|Terrible:3,3.9,Family:24,17,0,0,0,https://hotelz.makemytrip.com/makemytrip/site/hotels/detail?&city=XMN&country=IN&checkin=10042016&checkout=10052016&area=&roomStayQualifier=1e0e&hotelId=200904230920306389&i=|2,"Chinnakkanal, Munnar Chinnakanal, Munnar",Holiday Heaven,Hotel,Villa|Two Bedroom Villa,Kerala,Location:4.2/5 | Hospitality:4.1/5 | Facilities:3.8/5 | Cleanliness:3.9/5 | Value for Money:4.0/5 | Food:3.7/5
6,Ballygunge,Kolkata,India,22.533848,88.353182,3,Location:4.1,47,Excellent:15|Very Good:5|Average:17|Poor:7|Terrible:3,3.7,Family:2,11,8,1,3,https://hotelz.makemytrip.com/makemytrip/site/hotels/detail?&city=CCU&country=IN&checkin=10042016&checkout=10052016&area=&roomStayQualifier=1e0e&hotelId=200701111339522408&i=|2,"35A, Sarat Bose Road Bhawanipur,South Kolkata",The Samilton,Hotel,Standard|Superior Room,West Bengal,Location:4.1/5 | Hospitality:3.9/5 | Facilities:3.5/5 | Cleanliness:3.7/5 | Value for Money:3.5/5 | Food:2.9/5
7,Kunchithanny,Munnar,India,9.989989,77.06995,3,Location:4.6,13,Excellent:9|Very Good:2|Average:0|Poor:2|Terrible:0,4.4,Family:3,8,0,1,0,https://hotelz.makemytrip.com/makemytrip/site/hotels/detail?&city=XMN&country=IN&checkin=10042016&checkout=10052016&area=&roomStayQualifier=1e0e&hotelId=201411061037569882&i=|2,"Thekkinkanam, Munnar, Idukki, Kerala Kunjithanni, Munnar",The Aruvi Resort,Hotel,Cottage Garden View,kerala,Location:4.6/5 | Hospitality:4.5/5 | Facilities:4.4/5 | Cleanliness:4.2/5 | Value for Money:4.5/5 | Food:4.2/5
8,Mallital,Nainital,India,29.398018,79.444534,2,Location:2.8,9,Excellent:1|Very Good:1|Average:3|Poor:3|Terrible:1,3.1,Family:2,1,0,0,0,https://hotelz.makemytrip.com/makemytrip/site/hotels/detail?&city=XNT&country=IN&checkin=10042016&checkout=10052016&area=&roomStayQualifier=1e0e&hotelId=200701171726257696&i=|2,"Alpine Club, Aryapatta Hill,Near Aurobindo Ashram Near Arbindo Ashram Ayarpatta Mallital",Alpine Club,Hotel,Luxury Studio,Uttaranchal,Location:2.8/5 | Hospitality:2.2/5 | Facilities:3.0/5 | Cleanliness:3.2/5 | Value for Money:2.8/5 | Food:0.8/5
9,Chaturbhuj,Orchha,India,25.351837,78.636118,1,Location:4.9,9,Excellent:8|Very Good:0|Average:1|Poor:0|Terrible:0,4.8,Family:3,2,1,0,0,https://hotelz.makemytrip.com/makemytrip/site/hotels/detail?&city=XOR&country=IN&checkin=10042016&checkout=10052016&area=&roomStayQualifier=1e0e&hotelId=20140827145816799&i=|2,Behind Ram Raja temple near laxmi mandir road,Hotel Sunset,Hotel,`standard|Ac Room,Madhya Pradesh,Location:4.9/5 | Hospitality:4.8/5 | Facilities:4.8/5 | Cleanliness:4.2/5 | Value for Money:4.8/5 | Food:1.7/5
10,Hawa Beach,Kovalam and Poovar,India,8.38637,76.978122,3,Location:4.6,88,Excellent:20|Very Good:16|Average:23|Poor:19|Terrible:10,3.5,Family:44,20,4,2,1,https://hotelz.makemytrip.com/makemytrip/site/hotels/detail?&city=XOV&country=IN&checkin=10042016&checkout=10052016&area=&roomStayQualifier=1e0e&hotelId=201105281718097826&i=|2,"Hawa Beach, Kovalam Hawa Beach, Kovalam",Hotel Pappukutty Beach Resort,Hotel,Waves Non Ac|Waves Ac|Sea Flower Non Ac|Sea Flower Ac|Sea Coast Non Ac|Sea Coast Ac|Arabian Sea Ac|Suite Family Room,Kerala,Location:4.6/5 | Hospitality:3.2/5 | Facilities:3.2/5 | Cleanliness:3.2/5 | Value for Money:3.3/5 | Food:2.9/5
11,Kunchithanny,Munnar,India,10.021297,77.054798,5,Location:5.0,1,Excellent:0|Very Good:1|Average:0|Poor:0|Terrible:0,4.3,Family:0,1,0,0,0,https://hotelz.makemytrip.com/makemytrip/site/hotels/detail?&city=XMN&country=IN&checkin=10042016&checkout=10052016&area=&roomStayQualifier=1e0e&hotelId=201511041928362942&i=|2,"chithirapuram po, chithirapuram powerhousemunnar",Broad Bean resort &spa,Hotel,Deluxe|Executive Room|Honeymoon Suite|Premium Suite|Interconnecting Room,kerala,Location:5.0/5 | Hospitality:5.0/5 | Facilities:4.0/5 | Cleanliness:4.0/5 | Value for Money:5.0/5 | Food:0.0/5
12,Central Mysore,Mysore,India,12.309186,76.662407,4,Location:4.8,190,Excellent:117|Very Good:42|Average:24|Poor:6|Terrible:1,4.5,Family:74,35,5,3,0,https://hotelz.makemytrip.com/makemytrip/site/hotels/detail?&city=XMY&country=IN&checkin=10042016&checkout=10052016&area=&roomStayQualifier=1e0e&hotelId=200701181121147910&i=|2,"No. 3, Nethra Nivas, Nazarbad Road Mysore",Hotel Sandesh The Prince,Hotel,Executive Superior|Premier Room|Premier Suite,Karnataka,Location:4.8/5 | Hospitality:4.6/5 | Facilities:4.5/5 | Cleanliness:4.4/5 | Value for Money:4.5/5 | Food:2.1/5
13,Airport Area,Kolkata,India,22.622087,88.445603,3,Location:4.6,47,Excellent:25|Very Good:10|Average:7|Poor:5|Terrible:0,4.3,Family:13,14,15,0,3,https://hotelz.makemytrip.com/makemytrip/site/hotels/detail?&city=CCU&country=IN&checkin=10042016&checkout=10052016&area=&roomStayQualifier=1e0e&hotelId=201402141923514524&i=|2,"RGM - AS/464, Main Arterial Road, New Town Main Arterial Road, New Town",Pipal Tree Hotel,Hotel,Standard|Deluxe,West Bengal,Location:4.6/5 | Hospitality:4.0/5 | Facilities:4.2/5 | Cleanliness:3.7/5 | Value for Money:4.0/5 | Food:2.8/5
14,West Carr,Kanyakumari,India,8.083317,77.549958,3,Location:0.0,5,Excellent:5|Very Good:0|Average:0|Poor:0|Terrible:0,4.9,Family:4,0,0,0,0,https://hotelz.makemytrip.com/makemytrip/site/hotels/detail?&city=XKY&country=IN&checkin=10042016&checkout=10052016&area=&roomStayQualifier=1e0e&hotelId=201512291844186441&i=|2,"2/83 B, WEST CAR STREET, Kanyakumari. KANYAKUMARI",HOTEL TEMPLE CITI,Hotel,Double Bed|Four Bed|Five Bed|Six Bed,Tamil Nadu,Location:0.0/5 | Hospitality:0.0/5 | Facilities:4.8/5 | Cleanliness:4.8/5 | Value for Money:0.0/5 | Food:0.0/5
15,Munnar Road,Munnar,India,10.073772,77.064231,3,Location:3.9,21,Excellent:10|Very Good:4|Average:4|Poor:1|Terrible:2,4,Family:9,2,0,1,0,https://hotelz.makemytrip.com/makemytrip/site/hotels/detail?&city=XMN&country=IN&checkin=10042016&checkout=10052016&area=&roomStayQualifier=1e0e&hotelId=200903171335481720&i=|2,"M.S.A Road, Munnar Munnar",Archana Residency,Hotel,Executive Room|Riverview|Galaxy,kerala,Location:3.9/5 | Hospitality:4.8/5 | Facilities:3.8/5 | Cleanliness:4.1/5 | Value for Money:4.0/5 | Food:4.2/5
16,Central Hyderabad,Hyderabad,India,17.425058,78.425487,2,Location:3.7,23,Excellent:6|Very Good:3|Average:10|Poor:2|Terrible:2,3.7,Family:5,0,5,0,2,https://hotelz.makemytrip.com/makemytrip/site/hotels/detail?&city=HYD&country=IN&checkin=10042016&checkout=10052016&area=&roomStayQualifier=1e0e&hotelId=201101181936485874&i=|2,"Plot No-17, Lane beside TDP Office, Madhukunj Apartment Road No-2, Banjara Hills",Falcons Nest- Banjara Hills,Hotel,Economy Room,Andhra Pradesh,Location:3.7/5 | Hospitality:3.9/5 | Facilities:3.4/5 | Cleanliness:3.5/5 | Value for Money:3.9/5 | Food:3.2/5
17,Anachal,Munnar,India,10.000891,77.06109,3,Location:4.8,6,Excellent:6|Very Good:0|Average:0|Poor:0|Terrible:0,4.9,Family:2,3,0,0,0,https://hotelz.makemytrip.com/makemytrip/site/hotels/detail?&city=XMN&country=IN&checkin=10042016&checkout=10052016&area=&roomStayQualifier=1e0e&hotelId=201508181541453156&i=|2,"Maryland, Eatty city Road Anachal, Munnar",Season7 The Nature Resort,Hotel,Valley View|African Safari Luxury Tent,kerala,Location:4.8/5 | Hospitality:5.0/5 | Facilities:5.0/5 | Cleanliness:4.0/5 | Value for Money:5.0/5 | Food:3.2/5
18,South Goa,Goa,India,15.271716,73.958361,2,Location:4.3,28,Excellent:11|Very Good:12|Average:3|Poor:1|Terrible:1,4.3,Family:7,6,7,1,0,https://hotelz.makemytrip.com/makemytrip/site/hotels/detail?&city=GOI&country=IN&checkin=09272016&checkout=09282016&area=&roomStayQualifier=1e0e&hotelId=200910061531398543&i=|2,"Rajadhyax Tower, Behind Bank of India, Near Margao Municipal Council Cine Lata Road Margao",Hotel Om Shiv,Hotel,Standard Ac,Goa,Location:4.3/5 | Hospitality:4.4/5 | Facilities:4.1/5 | Cleanliness:4.4/5 | Value for Money:4.3/5 | Food:2.9/5
19,The Agra Fort,Agra,India,27.167792,78.048928,5,Location:5.0,2,Excellent:2|Very Good:0|Average:0|Poor:0|Terrible:0,4.8,Family:0,0,0,0,0,https://hotelz.makemytrip.com/makemytrip/site/hotels/detail?&city=AGR&country=IN&checkin=09272016&checkout=09282016&area=&roomStayQualifier=1e0e&hotelId=200701171157501278&i=|2,Taj East Gate Road 0.6 km from Taj Mahal,The Oberoi Amarvilas,Hotel,Premier Room|Premier Room With Private Balcony And A View Of Taj Mahal,Uttar Pradesh,Location:5.0/5 | Hospitality:0.0/5 | Facilities:5.0/5 | Cleanliness:4.5/5 | Value for Money:4.5/5 | Food:0.0/5
20,Diggi Bazaar,Ajmer,India,26.453897,74.633067,3,Location:4.6,172,Excellent:131|Very Good:24|Average:13|Poor:4|Terrible:0,4.6,Family:94,41,24,5,0,https://hotelz.makemytrip.com/makemytrip/site/hotels/detail?&city=XAJ&country=IN&checkin=09272016&checkout=09282016&area=&roomStayQualifier=1e0e&hotelId=201410071529473828&i=|2,Plaza Cinema Road Ajmer,Hotel Plaza Inn,Hotel,Executive Room|Super Deluxe Room|Family Suite,Rajasthan,Location:4.6/5 | Hospitality:4.6/5 | Facilities:4.5/5 | Cleanliness:4.7/5 | Value for Money:4.6/5 | Food:2.8/5
21,Jaipur Sindhi Camp Bus Stand,Jaipur,India,26.922287,75.796788,1,Location:2.0,2,Excellent:0|Very Good:0|Average:1|Poor:0|Terrible:1,2.4,Family:0,1,1,0,0,https://hotelz.makemytrip.com/makemytrip/site/hotels/detail?&city=JAI&country=IN&checkin=09272016&checkout=09282016&area=&roomStayQualifier=1e0e&hotelId=201409081830576503&i=|2,"11, Hathi Babu Ka Hatta, Opp Polovictory Cinema, St Road, Jaipur",Hotel Aishwarya,Hotel,Non A C Room|Economy,Rajasthan,Location:2.0/5 | Hospitality:2.5/5 | Facilities:2.5/5 | Cleanliness:0.0/5 | Value for Money:2.5/5 | Food:0.0/5
22,DLF Phase 2,New Delhi And NCR,India,28.490658,77.084398,2,Location:5.0,1,Excellent:1|Very Good:0|Average:0|Poor:0|Terrible:0,4.5,Family:0,0,1,0,0,https://hotelz.makemytrip.com/makemytrip/site/hotels/detail?&city=DEL&country=IN&checkin=09272016&checkout=09282016&area=&roomStayQualifier=1e0e&hotelId=201411261337106529&i=|2,M 11A/1 Dlf Phase II Behind DLF Square Buliding,Hotel Smart Inn,Hotel,Deluxe Room,Haryana,Location:5.0/5 | Hospitality:4.0/5 | Facilities:4.0/5 | Cleanliness:5.0/5 | Value for Money:4.0/5 | Food:0.0/5
23,Bund Garden Road,Pune,India,18.520296,73.876594,4,Location:4.8,275,Excellent:148|Very Good:49|Average:58|Poor:19|Terrible:1,4.3,Family:74,72,88,6,18,https://hotelz.makemytrip.com/makemytrip/site/hotels/detail?&city=WGM&country=IN&checkin=09272016&checkout=09282016&area=&roomStayQualifier=1e0e&hotelId=200701201440142000&i=|1,"1, Bund Garden Road, Opp SGS Mall Camp",Hotel Sagar Plaza,Hotel,Superior|Premium|Suite,Maharashtra,Location:4.8/5 | Hospitality:4.2/5 | Facilities:4.0/5 | Cleanliness:4.2/5 | Value for Money:4.2/5 | Food:3.0/5
24,South Delhi,New Delhi And NCR,India,28.5444,77.2444,3,Location:3.6,7,Excellent:0|Very Good:2|Average:3|Poor:1|Terrible:1,3.3,Family:0,0,0,0,0,https://hotelz.makemytrip.com/makemytrip/site/hotels/detail?&city=DEL&country=IN&checkin=09272016&checkout=09282016&area=&roomStayQualifier=1e0e&hotelId=200701231418303333&i=|2,"E-2, East of Kailash, Opposite Metro Pillar no.71, Main Road Lala lajpat Rai Marg East Of Kailash, South Delhi",The Solace,Hotel,Deluxe,Delhi,Location:3.6/5 | Hospitality:0.0/5 | Facilities:3.4/5 | Cleanliness:3.1/5 | Value for Money:3.1/5 | Food:0.0/5
25,Karol Bagh,New Delhi And NCR,India,28.647347,77.19283,3,Location:3.5,4,Excellent:2|Very Good:0|Average:1|Poor:1|Terrible:0,3.8,Family:0,3,0,0,0,https://hotelz.makemytrip.com/makemytrip/site/hotels/detail?&city=DEL&country=IN&checkin=09272016&checkout=09282016&area=&roomStayQualifier=1e0e&hotelId=201410211202042496&i=|2,"10175/1, Behind Bikanerwala, near Gurudwara Rd Gurudwara Temple Karol Bagh",Hotel Benz International,Hotel,Deluxe Room|Super Deluxe Room,Delhi,Location:3.5/5 | Hospitality:4.0/5 | Facilities:3.5/5 | Cleanliness:1.8/5 | Value for Money:4.0/5 | Food:0.0/5
26,Andheri (East),Mumbai,India,19.117263,72.882023,2,Location:3.2,85,Excellent:8|Very Good:14|Average:23|Poor:22|Terrible:18,3,Family:20,13,21,4,6,https://hotelz.makemytrip.com/makemytrip/site/hotels/detail?&city=BOM&country=IN&checkin=09272016&checkout=09282016&area=&roomStayQualifier=1e0e&hotelId=200709211017493525&i=|2,"Opp.N.G.Complex, Ashok Nagar,Military Road, Marol, Andheri (East). International Airport",Hotel Ace Residency,Hotel,Executive|Deluxe,Maharasta,Location:3.2/5 | Hospitality:3.1/5 | Facilities:2.9/5 | Cleanliness:2.8/5 | Value for Money:3.1/5 | Food:2.7/5
27,North Goa,Goa,India,15.5434,73.7628,1,Location:4.2,185,Excellent:66|Very Good:56|Average:52|Poor:10|Terrible:1,4.1,Family:15,36,2,4,0,https://hotelz.makemytrip.com/makemytrip/site/hotels/detail?&city=GOI&country=IN&checkin=09272016&checkout=09282016&area=&roomStayQualifier=1e0e&hotelId=200808021403531097&i=|2,"Lavina Street, Opp Calangute Panchayat, Calangute, Bardez Calangute, North goa",Castle House,Hotel,Ac Double Room,Goa,Location:4.2/5 | Hospitality:4.3/5 | Facilities:4.1/5 | Cleanliness:4.1/5 | Value for Money:4.3/5 | Food:3.6/5
28,Shastri Nagar,Jaipur,India,26.937619,75.795027,3,Location:3.5,15,Excellent:6|Very Good:3|Average:0|Poor:2|Terrible:4,3.4,Family:3,2,2,1,0,https://hotelz.makemytrip.com/makemytrip/site/hotels/detail?&city=JAI&country=IN&checkin=09272016&checkout=09282016&area=&roomStayQualifier=1e0e&hotelId=20100525164629767&i=|2,"Opposite Krishna Kripa Complex, Subhash Nagar, Near Banipark ShastriNagar",Hotel Goyal Palace,Hotel,Ac Executive|Ac Deluxe.,Rajasthan,Location:3.5/5 | Hospitality:4.3/5 | Facilities:3.3/5 | Cleanliness:2.9/5 | Value for Money:3.5/5 | Food:1.3/5
29,Sattal,Nainital,India,29.337793,79.542911,4,Location:4.2,30,Excellent:19|Very Good:6|Average:4|Poor:1|Terrible:0,4.5,Family:20,7,0,0,0,https://hotelz.makemytrip.com/makemytrip/site/hotels/detail?&city=WGCH&country=IN&checkin=09272016&checkout=09282016&area=&roomStayQualifier=1e0e&hotelId=201308221218123149&i=|1,"Sattal Road, Bhimtal Sattal Road, Bhimtal",The Royal Court,Hotel,Luxury Room|2 Bed Room Suite,Uttrakhand,Location:4.2/5 | Hospitality:4.4/5 | Facilities:4.4/5 | Cleanliness:4.6/5 | Value for Money:4.4/5 | Food:2.6/5
30,New Delhi Railway Station,New Delhi And NCR,India,28.645698,77.215856,3,Location:4.2,52,Excellent:18|Very Good:15|Average:8|Poor:10|Terrible:1,3.9,Family:13,11,22,2,1,https://hotelz.makemytrip.com/makemytrip/site/hotels/detail?&city=DEL&country=IN&checkin=09272016&checkout=09282016&area=&roomStayQualifier=1e0e&hotelId=200709141423048128&i=|2,"8572, Arakshan Road, Paharganj,Near New Delhi Paharganj, New Delhi Railway Station",Hotel Pallvi Palace,Hotel,Deluxe Room|Family Room,New Delhi,Location:4.2/5 | Hospitality:4.0/5 | Facilities:3.8/5 | Cleanliness:3.7/5 | Value for Money:4.0/5 | Food:2.7/5
31,Karol Bagh,New Delhi And NCR,India,28.648933,77.188721,3,Location:4.5,12,Excellent:5|Very Good:2|Average:4|Poor:1|Terrible:0,4.1,Family:2,6,3,0,0,https://hotelz.makemytrip.com/makemytrip/site/hotels/detail?&city=DEL&country=IN&checkin=09272016&checkout=09282016&area=&roomStayQualifier=1e0e&hotelId=201409031457486001&i=|2,4/64 PADAM SINGH ROAD KAROL BAGH NEW DELHI Karol Bagh,Hotel Singh International,Hotel,Deluxe Room|Super Deluxe Room|Classic Deluxe Room,Delhi,Location:4.5/5 | Hospitality:3.9/5 | Facilities:4.0/5 | Cleanliness:1.2/5 | Value for Money:3.9/5 | Food:3.2/5
32,Karol Bagh,New Delhi And NCR,India,28.6469,77.1958,3,Location:3.9,294,Excellent:119|Very Good:79|Average:69|Poor:21|Terrible:6,4.1,Family:50,23,34,6,17,https://hotelz.makemytrip.com/makemytrip/site/hotels/detail?&city=DEL&country=IN&checkin=09272016&checkout=09282016&area=&roomStayQualifier=1e0e&hotelId=200707051204332323&i=|2,"1041/17, Abdul Rahaman Road, Naiwalan, (Walkable from Jhandewalan Metro Station), Karol Bagh. Karol Bagh",Grand Park Inn,Hotel,Superior Room|Deluxe Ac Room|Suite|Quad/family Room,Delhi,Location:3.9/5 | Hospitality:4.3/5 | Facilities:4.1/5 | Cleanliness:4.2/5 | Value for Money:4.2/5 | Food:3.5/5
33,Gurgaon,New Delhi And NCR,India,28.304921,77.11973,4,Location:4.0,1,Excellent:0|Very Good:0|Average:0|Poor:1|Terrible:0,2.3,Family:1,0,0,0,0,https://hotelz.makemytrip.com/makemytrip/site/hotels/detail?&city=DEL&country=IN&checkin=09272016&checkout=09282016&area=&roomStayQualifier=1e0e&hotelId=201409100936502361&i=|2,"Damdama Village , Near Damdama Lake Damdana Village",Botanix Nature Resort,Hotel,Deluxe Room,Haryana,Location:4.0/5 | Hospitality:2.0/5 | Facilities:2.0/5 | Cleanliness:2.0/5 | Value for Money:2.0/5 | Food:0.0/5
34,Khar,Mumbai,India,19.0914,72.827976,3,Location:4.5,170,Excellent:55|Very Good:23|Average:44|Poor:37|Terrible:11,3.6,Family:51,38,44,7,12,https://hotelz.makemytrip.com/makemytrip/site/hotels/detail?&city=BOM&country=IN&checkin=09272016&checkout=09282016&area=&roomStayQualifier=1e0e&hotelId=201101101624406782&i=|2,"Juhu Tara Road,Juhu, Near Juhu Beach,Western Suburb Juhu Beach",Hotel Royal Garden,Hotel,Superior Executive,Maharashtra,Location:4.5/5 | Hospitality:3.4/5 | Facilities:3.4/5 | Cleanliness:3.6/5 | Value for Money:3.4/5 | Food:2.5/5
35,M.G. Road,Vijaywada,India,16.502789,80.639627,3,Location:4.7,39,Excellent:17|Very Good:10|Average:9|Poor:2|Terrible:1,4.2,Family:10,6,8,0,6,https://hotelz.makemytrip.com/makemytrip/site/hotels/detail?&city=VGA&country=IN&checkin=09272016&checkout=09282016&area=&roomStayQualifier=1e0e&hotelId=20070122080253191&i=|1,"40-1-28, MG Road",Fortune Murali Park,Hotel,Standard|Fortune Club,Andhra Pradesh,Location:4.7/5 | Hospitality:4.3/5 | Facilities:4.0/5 | Cleanliness:4.1/5 | Value for Money:4.2/5 | Food:3.3/5
36,Richmond,Bangalore,India,12.9594,77.5938,1,Location:4.6,26,Excellent:5|Very Good:7|Average:8|Poor:5|Terrible:1,3.7,Family:5,3,13,1,0,https://hotelz.makemytrip.com/makemytrip/site/hotels/detail?&city=BLR&country=IN&checkin=09272016&checkout=09282016&area=&roomStayQualifier=1e0e&hotelId=2012091114350671&i=|2,"19, K H Road, Shantinagar, Bangalore Shantinagar-Lal Bagh",Hotel Telehaus International,Hotel,Standard|Executive Deluxe Non Ac|Executive Luxury Ac,Karnataka,Location:4.6/5 | Hospitality:3.5/5 | Facilities:3.3/5 | Cleanliness:3.4/5 | Value for Money:3.6/5 | Food:2.1/5
37,Faridabad,New Delhi And NCR,India,28.429355,77.29665,5,Location:4.5,72,Excellent:48|Very Good:15|Average:5|Poor:3|Terrible:1,4.5,Family:9,21,28,0,7,https://hotelz.makemytrip.com/makemytrip/site/hotels/detail?&city=DEL&country=IN&checkin=09272016&checkout=09282016&area=&roomStayQualifier=1e0e&hotelId=201104191407009669&i=|2,"Plot Number 1, Sector 21C, Faridabad Faridabad",Park Plaza - Faridabad,Hotel,Superior.|Premium.,Haryana,Location:4.5/5 | Hospitality:4.3/5 | Facilities:4.6/5 | Cleanliness:3.9/5 | Value for Money:4.3/5 | Food:2.8/5
38,South Delhi,New Delhi And NCR,India,28.591879,77.238204,5,Location:4.0,1,Excellent:0|Very Good:1|Average:0|Poor:0|Terrible:0,4.2,Family:0,0,0,0,1,https://hotelz.makemytrip.com/makemytrip/site/hotels/detail?&city=DEL&country=IN&checkin=09272016&checkout=09282016&area=&roomStayQualifier=1e0e&hotelId=20130816185630411&i=|2,Lodhi Road Lodhi Road,The Lodhi,Hotel,Lodhi Room|Lodhi Deluxe Room|Lodhi Premier Room|Lodhi Suite|Lodhi Deluxe Suite|Lodhi Premier Suite,Delhi,Location:4.0/5 | Hospitality:4.0/5 | Facilities:4.0/5 | Cleanliness:4.0/5 | Value for Money:4.0/5 | Food:4.0/5
39,Karol Bagh,New Delhi And NCR,India,28.652723,77.142337,1,Location:4.4,7,Excellent:2|Very Good:0|Average:1|Poor:4|Terrible:0,3.4,Family:3,1,3,0,0,https://hotelz.makemytrip.com/makemytrip/site/hotels/detail?&city=DEL&country=IN&checkin=09272016&checkout=09282016&area=&roomStayQualifier=1e0e&hotelId=201104141017013381&i=|2,"Guru Nanak Marg, Channa Market,Block 7A, WEA, Karol Bagh Karol Bagh",Hotel Vishesh (Karol Bagh),Hotel,Deluxe.|Super Deluxe.,Delhi,Location:4.4/5 | Hospitality:3.3/5 | Facilities:3.0/5 | Cleanliness:3.6/5 | Value for Money:3.3/5 | Food:0.0/5
40,CG Road,Ahmedabad,India,23.02974,72.554648,3,Location:4.8,37,Excellent:20|Very Good:11|Average:3|Poor:3|Terrible:0,4.4,Family:9,13,8,0,3,https://hotelz.makemytrip.com/makemytrip/site/hotels/detail?&city=AMD&country=IN&checkin=09272016&checkout=09282016&area=&roomStayQualifier=1e0e&hotelId=201205031635063212&i=|2,"10, Vasant Baug Society, Opp. IDBI Bank, Gulbai Tekra Road Gulbai Tekra Road",Parker Lords Eco Inn,Hotel,Deluxe|Club,Gujarat,Location:4.8/5 | Hospitality:4.4/5 | Facilities:4.1/5 | Cleanliness:4.0/5 | Value for Money:4.4/5 | Food:2.7/5
41,Gurgaon,New Delhi And NCR,India,28.468028,77.059709,5,Location:4.9,17,Excellent:16|Very Good:0|Average:1|Poor:0|Terrible:0,4.8,Family:2,4,8,0,1,https://hotelz.makemytrip.com/makemytrip/site/hotels/detail?&city=DEL&country=IN&checkin=09272016&checkout=09282016&area=&roomStayQualifier=1e0e&hotelId=200707121012058516&i=|2,Sector 29 National Highway 8 Gurgaon,Crowne Plaza Gurgaon,Hotel,2 BED DELUXE NONSMOKING|KING DELUXE NONSMOKING|2 SINGLES EXECUTIVE NONSMOKING|1 KING EXECUTIVE NONSMOKING|2 KING BED DELUXE SUITE,New Delhi,Location:4.9/5 | Hospitality:4.9/5 | Facilities:4.8/5 | Cleanliness:2.3/5 | Value for Money:4.9/5 | Food:3.1/5
42,Yamuna Bank,Agra,India,27.190005,78.025003,3,Location:4.3,53,Excellent:33|Very Good:9|Average:10|Poor:0|Terrible:1,4.4,Family:27,12,9,3,0,https://hotelz.makemytrip.com/makemytrip/site/hotels/detail?&city=AGR&country=IN&checkin=09272016&checkout=09282016&area=&roomStayQualifier=1e0e&hotelId=201407021336427999&i=|2,"6/27, Yamuna Kinara Road Belanganj",Hotel Alleviate,Hotel,Deluxe Double / Twin Room|Taj Facing Room,Uttar Pradesh,Location:4.3/5 | Hospitality:4.3/5 | Facilities:4.4/5 | Cleanliness:4.5/5 | Value for Money:4.3/5 | Food:3.1/5
