,area,city,country,latitude,longitude,hotel_star_rating,mmt_location_rating,mmt_review_count,mmt_review_rating,mmt_review_score,mmt_traveller_type_review_count,Couple,Solo,Friends,Business,pageurl,property_address,property_name,property_type,room_types,state,traveller_rating
1618,Noida,New Delhi And NCR,India,28.556681,77.368919,3,Location:4.7,27,Excellent:14|Very Good:6|Average:4|Poor:3|Terrible:0,4.3,Family:2,8,15,0,0,https://hotelz.makemytrip.com/makemytrip/site/hotels/detail?&city=DEL&country=IN&checkin=10042016&checkout=10052016&area=&roomStayQualifier=1e0e&hotelId=201012181557495230&i=|1,"14/1 Ambedkar Vihar, Sector 37, Sector  37,Noida",Hotel Golf View,Hotel,Superior|Deluxe|Executive,UP,Location:4.7/5 | Hospitality:4.2/5 | Facilities:4.1/5 | Cleanliness:4.2/5 | Value for Money:4.1/5 | Food:2.0/5
1619,South Delhi,New Delhi And NCR,India,28.561043,77.269273,5,Location:4.7,186,Excellent:138|Very Good:30|Average:15|Poor:2|Terrible:1,4.6,Family:35,55,62,0,7,https://hotelz.makemytrip.com/makemytrip/site/hotels/detail?&city=DEL&country=IN&checkin=10042016&checkout=10052016&area=&roomStayQualifier=1e0e&hotelId=201007021321155840&i=|1,"New Friends Colony, New Friends Colony, South Delhi",The Suryaa,Hotel,Deluxe|Club Premier,New Delhi,Location:4.7/5 | Hospitality:4.6/5 | Facilities:4.6/5 | Cleanliness:4.0/5 | Value for Money:4.6/5 | Food:1.9/5
1620,Gurgaon,New Delhi And NCR,India,28.464945,77.064613,4,Location:4.4,11,Excellent:9|Very Good:1|Average:0|Poor:1|Terrible:0,4.7,Family:2,3,3,0,0,https://hotelz.makemytrip.com/makemytrip/site/hotels/detail?&city=DEL&country=IN&checkin=10042016&checkout=10052016&area=&roomStayQualifier=1e0e&hotelId=201601061040538260&i=|1,"287, Millennium City Center,287, City Center, Sector 29, Gurgaon, Sector 29, Gurgaon,",Lemon Tree Premier City Center Gurgaon,Hotel,Business double room,Haryana,Location:4.4/5 | Hospitality:4.4/5 | Facilities:4.6/5 | Cleanliness:4.7/5 | Value for Money:4.4/5 | Food:1.7/5
1621,Calangute Beach,Goa,India,15.53141,73.762045,1,Location:4.8,9,Excellent:4|Very Good:0|Average:4|Poor:1|Terrible:0,3.9,Family:2,3,0,1,0,https://hotelz.makemytrip.com/makemytrip/site/hotels/detail?&city=GOI&country=IN&checkin=10042016&checkout=10052016&area=&roomStayQualifier=1e0e&hotelId=201509011123341960&i=|1,adjacent gabriel guesthouse calangute Goa,Calangute Beach Side,Hotel,Semi Deluxe Non A/C|Deluxe Non A/c|Semi Deluxe A/c|Deluxe A/c,Goa,Location:4.8/5 | Hospitality:3.2/5 | Facilities:3.4/5 | Cleanliness:4.2/5 | Value for Money:3.2/5 | Food:2.3/5
1622,Mahipalpur,New Delhi And NCR,India,28.545462,77.123189,3,Location:3.7,255,Excellent:51|Very Good:22|Average:52|Poor:120|Terrible:10,3.2,Family:45,79,96,7,10,https://hotelz.makemytrip.com/makemytrip/site/hotels/detail?&city=DEL&country=IN&checkin=10042016&checkout=10052016&area=&roomStayQualifier=1e0e&hotelId=201408061229163601&i=|1,"L-20/324, Street No. 7, Near IGI Airport, Mahipalpur, South Delhi Mahipalpur , International Airport Zone",Hotel Chanakya Inn,Hotel,Deluxe Room|Premium Room|Suite Room,New Delhi,Location:3.7/5 | Hospitality:3.0/5 | Facilities:2.9/5 | Cleanliness:3.1/5 | Value for Money:3.0/5 | Food:2.2/5
1623,Mahipalpur,New Delhi And NCR,India,28.547314,77.125461,3,Location:2.1,53,Excellent:9|Very Good:5|Average:13|Poor:20|Terrible:6,3.1,Family:10,10,16,0,5,https://hotelz.makemytrip.com/makemytrip/site/hotels/detail?&city=DEL&country=IN&checkin=10042016&checkout=10052016&area=&roomStayQualifier=1e0e&hotelId=200811270954539115&i=|1,"A- 23 Street No- 1 NH- 8 MahipalPur,Nr IGI International and Domestic Airport Mahipalpur, International Airport Zone",La Sapphire Hotel,Hotel,Deluxe Room|Executive Room|Suite Room|Grand Suite Room,Delhi,Location:2.1/5 | Hospitality:1.5/5 | Facilities:2.9/5 | Cleanliness:2.2/5 | Value for Money:1.7/5 | Food:2.8/5
1624,"Jaipur Naurangpur Highway, Gurgaon",New Delhi And NCR,India,27.993941,76.388242,4,Location:4.5,64,Excellent:37|Very Good:12|Average:9|Poor:6|Terrible:0,4.3,Family:27,29,1,1,0,https://hotelz.makemytrip.com/makemytrip/site/hotels/detail?&city=DEL&country=IN&checkin=10042016&checkout=10052016&area=&roomStayQualifier=1e0e&hotelId=201206141243314802&i=|1,"122 nd Milestone, Delhi-Jaipur Highway Village Neemrana",Neemrana Fort Palace,Hotel,Heritage Solo|Heritage Comfort|Heritage Old World|Heritage Smart|Heritage Splendour|Heritage Royal,Rajasthan,Location:4.5/5 | Hospitality:4.2/5 | Facilities:4.2/5 | Cleanliness:2.8/5 | Value for Money:4.2/5 | Food:2.9/5
1625,Greater Noida,New Delhi And NCR,India,28.64431,77.186294,3,Location:3.0,7,Excellent:0|Very Good:1|Average:1|Poor:5|Terrible:0,2.7,Family:0,3,2,0,1,https://hotelz.makemytrip.com/makemytrip/site/hotels/detail?&city=DEL&country=IN&checkin=10042016&checkout=10052016&area=&roomStayQualifier=1e0e&hotelId=201003291316031253&i=|1,"Plot No 9, Knowledge Park III, Near Globus IT Park, greater noida Greater NOIDA",Qube Studios - Greater Noida,Hotel,Studio King|Grand Studio King,delhi,Location:3.0/5 | Hospitality:2.4/5 | Facilities:2.6/5 | Cleanliness:2.3/5 | Value for Money:2.4/5 | Food:1.7/5
1626,North Goa,Goa,India,15.541382,73.764253,2,Location:3.7,18,Excellent:3|Very Good:4|Average:4|Poor:5|Terrible:2,3.3,Family:2,4,0,2,0,https://hotelz.makemytrip.com/makemytrip/site/hotels/detail?&city=GOI&country=IN&checkin=10042016&checkout=10052016&area=&roomStayQualifier=1e0e&hotelId=200706141609504401&i=|1,"Near Domino Pizza Naikavaddo, Bardez Calangute, North Goa",Royal Heritage Resort,Hotel,Ac Room,Goa,Location:3.7/5 | Hospitality:3.6/5 | Facilities:3.2/5 | Cleanliness:3.2/5 | Value for Money:3.3/5 | Food:2.5/5
1627,Karol Bagh,New Delhi And NCR,India,28.645942,77.18325,3,Location:4.0,15,Excellent:7|Very Good:0|Average:7|Poor:1|Terrible:0,4.1,Family:6,3,3,0,2,https://hotelz.makemytrip.com/makemytrip/site/hotels/detail?&city=DEL&country=IN&checkin=10042016&checkout=10052016&area=&roomStayQualifier=1e0e&hotelId=201308151706491850&i=|1,"7A/39, WEA, Channa Market, Karol Bagh Karol Bagh",Hotel Bonlon Inn,Hotel,Economy Room|Premium Room|Suite Room,Delhi,Location:4.0/5 | Hospitality:3.9/5 | Facilities:4.0/5 | Cleanliness:4.0/5 | Value for Money:3.9/5 | Food:3.6/5
